2025-01-28 19:54:03 INFO autoreload Watching for file changes with StatReloader
2025-01-28 19:54:03 DEBUG autoreload Waiting for apps ready_event.
2025-01-28 19:54:04 DEBUG autoreload Apps ready_event triggered. Sending autoreload_started signal.
2025-01-28 19:54:04 DEBUG autoreload Watching dir C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django_filters\templates with glob **/*.
2025-01-28 19:54:04 DEBUG autoreload Watching dir C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\allauth\templates with glob **/*.
2025-01-28 19:54:04 DEBUG autoreload Watching dir C:\Users\t1mm1\skill\SkillBoom\NewsPaper\templates with glob **/*.
2025-01-28 19:54:04 DEBUG autoreload Watching dir C:\Users\t1mm1\skill\SkillBoom\NewsPaper\locale with glob **/*.mo.
2025-01-28 19:54:04 DEBUG autoreload Watching dir C:\Users\t1mm1\skill\SkillBoom\NewsPaper\news\locale with glob **/*.mo.
2025-01-28 19:54:04 DEBUG autoreload Watching dir C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django_filters\locale with glob **/*.mo.
2025-01-28 19:54:04 DEBUG autoreload Watching dir C:\Users\t1mm1\skill\SkillBoom\NewsPaper\sign\locale with glob **/*.mo.
2025-01-28 19:54:04 DEBUG autoreload Watching dir C:\Users\t1mm1\skill\SkillBoom\NewsPaper\protect\locale with glob **/*.mo.
2025-01-28 19:54:04 DEBUG autoreload Watching dir C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\allauth\locale with glob **/*.mo.
2025-01-28 19:54:04 DEBUG autoreload Watching dir C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\allauth\account\locale with glob **/*.mo.
2025-01-28 19:54:04 DEBUG autoreload Watching dir C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\allauth\socialaccount\locale with glob **/*.mo.
2025-01-28 19:54:04 DEBUG autoreload Watching dir C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\allauth\socialaccount\providers\yandex\locale with glob **/*.mo.
2025-01-28 19:54:04 DEBUG autoreload Watching dir C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django_apscheduler\locale with glob **/*.mo.
2025-01-28 19:54:04 DEBUG autoreload Watching dir C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\celery\locale with glob **/*.mo.
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\redis\asyncio\retry.py first seen with mtime 1735127331.969552
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1733595951.4569416
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1733595953.1845958
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\allauth\account\utils.py first seen with mtime 1733598401.2853553
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\redis\credentials.py first seen with mtime 1735127331.9585805
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1733595953.2224946
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\core\checks\security\csrf.py first seen with mtime 1733595953.2005532
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\AppData\Local\Programs\Python\Python312\Lib\email\charset.py first seen with mtime 1707246618.0
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\AppData\Local\Programs\Python\Python312\Lib\contextlib.py first seen with mtime 1707246618.0
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\allauth\decorators.py first seen with mtime 1733598401.2753818
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\core\files\storage\handler.py first seen with mtime 1733595953.2055397
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1733595951.4539497
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\AppData\Local\Programs\Python\Python312\Lib\logging\config.py first seen with mtime 1707246618.0
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\requests\models.py first seen with mtime 1733598482.7048335
